contractSymbol,strike,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,expirationDate,CALL,mark,sector,industry,grossMargins,targetLowPrice,recommendationKey,targetMedianPrice,currentPrice,targetMeanPrice,targetHighPrice,pegRatio,forwardPE,fiftyDayAverage,recommendationMean,recordTime
AAPL220414C00050000,50.0,117.45,117.6,-2.25,-1.8625827,7.0,198,1.0000000000000003e-05,True,2022-04-14,True,117.525,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00055000,55.0,112.45,112.65,0.0,0.0,3.0,15,1.0000000000000003e-05,True,2022-04-14,True,112.55000000000001,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00060000,60.0,107.4,107.6,0.0,0.0,1.0,1,1.0000000000000003e-05,True,2022-04-14,True,107.5,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00065000,65.0,102.35,102.55,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2022-04-14,True,102.44999999999999,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00070000,70.0,100.45,104.45,0.0,0.0,4.0,0,14.392579129638671,True,2022-04-14,True,102.45,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00075000,75.0,92.35,92.65,0.0,0.0,2.0,5,1.0000000000000003e-05,True,2022-04-14,True,92.5,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00080000,80.0,87.35,87.65,0.0,0.0,14.0,14,1.0000000000000003e-05,True,2022-04-14,True,87.5,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00085000,85.0,82.2,82.65,0.0,0.0,3.0,59,1.0000000000000003e-05,True,2022-04-14,True,82.42500000000001,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00090000,90.0,77.4,77.6,0.0,0.0,42.0,331,1.0000000000000003e-05,True,2022-04-14,True,77.5,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
AAPL220414C00095000,95.0,72.4,72.6,0.0,0.0,6.0,193,1.0000000000000003e-05,True,2022-04-14,True,72.5,Technology,Consumer Electronics,0.43019,160,buy,200,167.71,193.49,215,2.69,25.52892,167.9996,1.8,2022-04-14 11:08:00.214663
